Name,isTF
ZNF117,Yes
ZNF12,Yes
ZNF121,Yes
ZNF124,Yes
ZNF131,Yes
ZNF132,Yes
ZNF133,Yes
ZNF134,Yes
ZNF135,Yes
ZNF136,Yes
ZNF138,Yes
ZNF14,Yes
ZNF140,Yes
ZNF141,Yes
ZNF142,Yes
ZNF143,Yes
ZNF146,Yes
ZNF148,Yes
ZNF154,Yes
ZNF155,Yes
ZNF157,Yes
ZNF16,Yes
ZNF160,Yes
ZNF165,Yes
ZNF169,Yes
ZNF17,Yes
ZNF174,Yes
ZNF175,Yes
ZNF177,Yes
ZNF18,Yes
ZNF180,Yes
ZNF181,Yes
ZNF182,Yes
ZNF184,Yes
ZNF189,Yes
ZNF19,Yes
ZNF195,Yes
ZNF197,Yes
ZNF2,Yes
ZNF20,Yes
ZNF200,Yes
ZNF202,Yes
ZNF205,Yes
ZNF207,Yes
ZNF208,Yes
ZNF211,Yes
ZNF212,Yes
ZNF213,Yes
ZNF214,Yes
ZNF215,Yes
ZNF217,Yes
ZNF219,Yes
ZNF22,Yes
ZNF221,Yes
ZNF222,Yes
ZNF223,Yes
ZNF224,Yes
ZNF225,Yes
ZNF226,Yes
ZNF227,Yes
ZNF229,Yes
ZNF23,Yes
ZNF230,Yes
ZNF232,Yes
ZNF233,Yes
ZNF234,Yes
ZNF235,Yes
ZNF236,Yes
ZNF239,Yes
ZNF24,Yes
ZNF248,Yes
ZNF25,Yes
ZNF250,Yes
ZNF251,Yes
ZNF253,Yes
ZNF254,Yes
ZNF256,Yes
ZNF257,Yes
ZNF26,Yes
ZNF260,Yes
ZNF263,Yes
ZNF264,Yes
ZNF266,Yes
ZNF267,Yes
ZNF268,Yes
ZNF273,Yes
ZNF274,Yes
ZNF275,Yes
ZNF276,Yes
ZNF28,Yes
ZNF280A,Yes
ZNF280B,Yes
ZNF280C,Yes
ZNF280D,Yes
ZNF281,Yes
ZNF282,Yes
ZNF283,Yes
ZNF284,Yes
ZNF285,Yes
ZNF286A,Yes
ZNF286B,Yes
ZNF287,Yes
ZNF292,Yes
ZNF296,Yes
ZNF3,Yes
ZNF30,Yes
ZNF300,Yes
ZNF302,Yes
ZNF304,Yes
ZNF311,Yes
ZNF316,Yes
ZNF317,Yes
ZNF318,Yes
ZNF319,Yes
ZNF32,Yes
ZNF320,Yes
ZNF322,Yes
ZNF324,Yes
ZNF324B,Yes
ZNF326,Yes
ZNF329,Yes
ZNF331,Yes
ZNF333,Yes
ZNF334,Yes
ZNF335,Yes
ZNF337,Yes
ZNF33A,Yes
ZNF33B,Yes
ZNF34,Yes
ZNF341,Yes
ZNF343,Yes
ZNF345,Yes
ZNF346,Yes
ZNF347,Yes
ZNF35,Yes
ZNF350,Yes
ZNF354A,Yes
ZNF354B,Yes
ZNF354C,Yes
ZNF355P,No
ZNF358,Yes
ZNF362,Yes
ZNF365,Yes
ZNF366,Yes
ZNF367,Yes
ZNF37A,Yes
ZNF382,Yes
ZNF383,Yes
ZNF384,Yes
ZNF385A,Yes
ZNF385B,Yes
ZNF385C,Yes
ZNF385D,Yes
ZNF391,Yes
ZNF394,Yes
ZNF395,Yes
ZNF396,Yes
ZNF397,Yes
ZNF398,Yes
ZNF404,Yes
ZNF407,Yes
ZNF408,Yes
ZNF41,Yes
ZNF410,Yes
ZNF414,Yes
ZNF415,Yes
ZNF416,Yes
ZNF417,Yes
ZNF418,Yes
ZNF419,Yes
ZNF420,Yes
ZNF423,Yes
ZNF425,Yes
ZNF426,Yes
ZNF428,Yes
ZNF429,Yes
ZNF43,Yes
ZNF430,Yes
ZNF431,Yes
ZNF432,Yes
ZNF433,Yes
ZNF436,Yes
ZNF438,Yes
ZNF439,Yes
ZNF44,Yes
ZNF440,Yes
ZNF441,Yes
ZNF442,Yes
ZNF443,Yes
ZNF444,Yes
